a,a ,ɑ,,
c,ts,tʃ,,
c̓,c’,ts’,,
ə,ə,,,
h,h,,,
ḥ,h,,,
i,i,e,,
ɣ,ɣ,,,
ɣ̓,ɣ’,,,
k,k,,,
k̓,k',,,
kʷ,kʷ,,,
k̓ʷ,k'ʷ,,,
l,l,,,
l̕,l̕,,,
ɬ,ɬ,,,
ƛ̓,tɬ ̓,,,
m,m,,,
m̓,m',,,
n,n,,,
n̓,n',,,
o ,o,,,
p ,p,,,
p̓ ,p',,,
q ,q,,,
q̓ ,q',,,
qʷ ,qʷ,,,
q̓ʷ ,q'ʷ,,,
r ,ɾ,,,
r̓ ,ɾ',,,
s ,s,,,
t ,t,,,
t',t',,,
ʕ ,ʕ ,,,
ʕ̓ ,ʕ̓ ,,,
u,u,o,,
ʕʷ,ʕʷ,,,
 ʕ̓ʷ, ʕ̓ʷ,,,
x̌ ,χ,,,
x,x,,,
w,w,,,
y ,y,,,
x̌ʷ,χʷ,,,
 xʷ, xʷ,,,
 w̓,w',,,
w,w,,,
y̓,y̓,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
